journey_id,user_id,converted,revenue,first_touch_date,last_touch_date,journey_length,path,path_string,days_in_journey
D01_000054bf046d63f42abc085b13500de7,000054bf046d63f42abc085b13500de7,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 01', 'Publisher 01']",Publisher 01 > Publisher 01,0
D01_00014e4b3b1383bc35bdc775aa2184e3,00014e4b3b1383bc35bdc775aa2184e3,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_0004b325097d4d9a021c146414c3c87e,0004b325097d4d9a021c146414c3c87e,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Publisher 01']",Long-tail placements > Publisher 01,0
D01_0009ca0d9377723aa74b24b29448b44e,0009ca0d9377723aa74b24b29448b44e,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_000b1bb42f33a4863a5af6aba3003a1e,000b1bb42f33a4863a5af6aba3003a1e,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_001205779443531319a0f034cb358d96,001205779443531319a0f034cb358d96,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 01', 'Publisher 01']",Publisher 01 > Publisher 01,0
D01_0012f001a799d6a257d2bf5cdd531f59,0012f001a799d6a257d2bf5cdd531f59,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 03', 'Publisher 03']",Publisher 03 > Publisher 03,0
D01_001a5d1e71ec6845f8584fc246dcac82,001a5d1e71ec6845f8584fc246dcac82,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_002416158a134cc34e73861ec9912557,002416158a134cc34e73861ec9912557,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Publisher 02']",Long-tail placements > Publisher 02,0
D01_00251a35708151034fb9bf1f2b60b49d,00251a35708151034fb9bf1f2b60b49d,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_002f76db2978ec7d81cf7239f8576e0b,002f76db2978ec7d81cf7239f8576e0b,0,0.0,2025-01-01,2025-01-01,3,"['Publisher 08', 'Publisher 08', 'Publisher 08']",Publisher 08 > Publisher 08 > Publisher 08,0
D01_00308a57bb5c1ef262c0c5f50b7e96c2,00308a57bb5c1ef262c0c5f50b7e96c2,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_0030fc45f568ee0604d9d7d100bc7c39,0030fc45f568ee0604d9d7d100bc7c39,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 05', 'Publisher 05']",Publisher 05 > Publisher 05,0
D01_003c35e1126c87698f43d6707e91c2b6,003c35e1126c87698f43d6707e91c2b6,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_003e12e53362fa619bc31fc58edad9f9,003e12e53362fa619bc31fc58edad9f9,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_0048735a5d1d5c3fc07c8e2e8c040252,0048735a5d1d5c3fc07c8e2e8c040252,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00511b3cf9a61c98a914851333ba238a,00511b3cf9a61c98a914851333ba238a,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_0058a0e7349a28422ae5d86bb8d94cc4,0058a0e7349a28422ae5d86bb8d94cc4,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 01', 'Publisher 01']",Publisher 01 > Publisher 01,0
D01_005f99673c6d0121ebede830941fe8f8,005f99673c6d0121ebede830941fe8f8,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 05', 'Publisher 05']",Publisher 05 > Publisher 05,0
D01_0066777af46f2ccc3740da1c7258be2d,0066777af46f2ccc3740da1c7258be2d,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_0068c4f1f69f91a56a23143cba45c593,0068c4f1f69f91a56a23143cba45c593,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_006b1454d247e907e0ebba4e691f8ac0,006b1454d247e907e0ebba4e691f8ac0,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Publisher 01']",Long-tail placements > Publisher 01,0
D01_006c029e3a03e5ceb483252c570aa4bb,006c029e3a03e5ceb483252c570aa4bb,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_007cd62852b8e48d0e19f8fd80beb2b5,007cd62852b8e48d0e19f8fd80beb2b5,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_007e7b288be9aac8e3e077664a238fff,007e7b288be9aac8e3e077664a238fff,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Publisher 02']",Long-tail placements > Publisher 02,0
D01_008a302e6e404911afa37242c43b0166,008a302e6e404911afa37242c43b0166,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_008f31723745e91d20bbacbc0dd4bd4f,008f31723745e91d20bbacbc0dd4bd4f,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 03', 'Publisher 03']",Publisher 03 > Publisher 03,0
D01_008f5210a32a6983fa2462bbd20e6fcc,008f5210a32a6983fa2462bbd20e6fcc,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_009760f2d5a31a3e742486741ac8e922,009760f2d5a31a3e742486741ac8e922,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_009b6f219401ae6e3980184aa48e1f0b,009b6f219401ae6e3980184aa48e1f0b,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 01', 'Publisher 01']",Publisher 01 > Publisher 01,0
D01_009c38d4a1c12f0e303900eed9b51c1f,009c38d4a1c12f0e303900eed9b51c1f,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00a4581592e6d0a1b0b7abb663fcef23,00a4581592e6d0a1b0b7abb663fcef23,0,0.0,2025-01-01,2025-01-01,3,"['Long-tail placements', 'Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements > Long-tail placements,0
D01_00a9010d696d988606878b2a937cc715,00a9010d696d988606878b2a937cc715,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00aaf804a20bfeecec3a0241763c10c2,00aaf804a20bfeecec3a0241763c10c2,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 02', 'Publisher 02']",Publisher 02 > Publisher 02,0
D01_00bcf2d56f4ee34dda5b6857728247dd,00bcf2d56f4ee34dda5b6857728247dd,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00c043806f0019ec6767db4113266896,00c043806f0019ec6767db4113266896,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00c12817f4e6380164b893d3880b2ce8,00c12817f4e6380164b893d3880b2ce8,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00d16574404452c312d02c60ae5b2812,00d16574404452c312d02c60ae5b2812,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00d812d2d79c74d914acc46bee014234,00d812d2d79c74d914acc46bee014234,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 03', 'Publisher 03']",Publisher 03 > Publisher 03,0
D01_00d8c36d7a5cdc8c81406b366d658ea7,00d8c36d7a5cdc8c81406b366d658ea7,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00d8eb91507e99a66aebb4f65460d491,00d8eb91507e99a66aebb4f65460d491,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00daa845fbaeb9515ffb2b780fbeda04,00daa845fbaeb9515ffb2b780fbeda04,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 03', 'Publisher 01']",Publisher 03 > Publisher 01,0
D01_00df5296baa04b64c811af377570c407,00df5296baa04b64c811af377570c407,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
D01_00e3a25eb1a7f43104857c9b4fa3c1d1,00e3a25eb1a7f43104857c9b4fa3c1d1,0,0.0,2025-01-01,2025-01-01,2,"['Publisher 03', 'Publisher 03']",Publisher 03 > Publisher 03,0
D01_00e56326a4a1f448d227f22a6edb2abe,00e56326a4a1f448d227f22a6edb2abe,0,0.0,2025-01-01,2025-01-01,2,"['Long-tail placements', 'Long-tail placements']",Long-tail placements > Long-tail placements,0
