path_string,journeys,conversion_rate,avg_revenue_per_journey
Long-tail placements > Long-tail placements,5397,0.016675931072818232,2.668148971650917
Publisher 01 > Publisher 01,1630,0.01717791411042945,3.312883435582822
Publisher 02 > Publisher 02,770,0.01948051948051948,3.116883116883117
Long-tail placements > Long-tail placements > Long-tail placements,470,0.01702127659574468,2.5531914893617023
Publisher 03 > Publisher 03,369,0.02168021680216802,3.252032520325203
Long-tail placements > Publisher 01,196,0.02040816326530612,2.4489795918367347
Publisher 04 > Publisher 04,195,0.03076923076923077,11.076923076923077
Publisher 05 > Publisher 05,194,0.010309278350515464,1.8556701030927836
Publisher 01 > Long-tail placements,192,0.015625,2.5
Publisher 01 > Publisher 03,171,0.0,0.0
Publisher 02 > Long-tail placements,141,0.014184397163120567,1.702127659574468
Publisher 03 > Publisher 01,140,0.02142857142857143,2.5714285714285716
