method,channel,credit_value,credit_share
First touch,Display,70924.14000000007,0.20892489055428606
First touch,Paid Social,70786.87,0.20852052724827483
First touch,Referral,32720.139999999992,0.09638540091456743
First touch,Organic Search,55545.819999999985,0.16362418161500525
First touch,Paid Search,49860.740000000005,0.1468773487765337
First touch,Affiliate,19529.890000000007,0.05753020242173177
First touch,Email,26113.300000000003,0.07692329218953142
First touch,Direct,13991.050000000001,0.04121415628006968
Last touch,Display,14302.999999999995,0.042133083455054225
Last touch,Paid Social,17448.680000000004,0.05139947497871327
Last touch,Referral,18554.359999999997,0.05465653347795008
Last touch,Organic Search,40541.23999999999,0.11942441783481667
Last touch,Paid Search,88219.13999999996,0.2598716624451592
Last touch,Affiliate,23054.32000000001,0.06791229731941037
Last touch,Email,71743.81999999998,0.2113394641295105
Last touch,Direct,65607.39,0.1932630663593855
Linear,Display,38558.382380952426,0.1135834120638021
Linear,Paid Social,43969.37591666671,0.12952285429375449
Linear,Referral,26014.807178571427,0.07663315681478669
Linear,Organic Search,52149.63017857146,0.15361985041347734
Linear,Paid Search,66825.20361904765,0.19685044263317675
Linear,Affiliate,23746.324035714304,0.06995076923355317
Linear,Email,51209.2565714286,0.15084974346607607
Linear,Direct,36998.97011904757,0.10898977108137378
Markov removal,Display,39242.74178745279,0.11559936480010437
Markov removal,Paid Social,42783.8412524594,0.12603056379903965
Markov removal,Referral,27846.620540335152,0.08202922374097521
Markov removal,Organic Search,51374.65068528245,0.1513369534221677
Markov removal,Paid Search,61175.188816327805,0.1802069031515794
Markov removal,Affiliate,26395.02427521931,0.07775318189093182
Markov removal,Email,48448.247594507375,0.14271649717894916
Markov removal,Direct,42205.63504841576,0.12432731201625276
