journey_id,user_id,converted,revenue,first_touch_date,last_touch_date,journey_length,path,path_string,days_in_journey
J000001,U000001,0,0.0,2026-02-09,2026-02-15,5,"['Direct', 'Email', 'Organic Search', 'Organic Search', 'Email']",Direct > Email > Organic Search > Organic Search > Email,6
J000002,U000002,0,0.0,2026-01-16,2026-01-16,1,['Affiliate'],Affiliate,0
J000003,U000003,0,0.0,2026-01-29,2026-02-07,5,"['Referral', 'Display', 'Paid Social', 'Affiliate', 'Email']",Referral > Display > Paid Social > Affiliate > Email,9
J000004,U000004,0,0.0,2026-03-07,2026-03-07,2,"['Referral', 'Organic Search']",Referral > Organic Search,0
J000005,U000005,0,0.0,2026-03-01,2026-03-09,5,"['Paid Social', 'Affiliate', 'Paid Social', 'Email', 'Email']",Paid Social > Affiliate > Paid Social > Email > Email,8
J000006,U000006,0,0.0,2026-01-15,2026-01-15,1,['Organic Search'],Organic Search,0
J000007,U000007,0,0.0,2026-02-12,2026-02-23,5,"['Display', 'Organic Search', 'Paid Social', 'Organic Search', 'Direct']",Display > Organic Search > Paid Social > Organic Search > Direct,11
J000008,U000008,0,0.0,2026-01-25,2026-02-04,5,"['Paid Search', 'Paid Social', 'Display', 'Display', 'Paid Search']",Paid Search > Paid Social > Display > Display > Paid Search,10
J000009,U000009,0,0.0,2026-02-19,2026-02-25,3,"['Organic Search', 'Paid Social', 'Direct']",Organic Search > Paid Social > Direct,6
J000010,U000010,0,0.0,2026-01-22,2026-01-30,5,"['Display', 'Direct', 'Organic Search', 'Paid Social', 'Paid Search']",Display > Direct > Organic Search > Paid Social > Paid Search,8
J000011,U000011,0,0.0,2026-02-22,2026-02-26,4,"['Organic Search', 'Display', 'Organic Search', 'Paid Social']",Organic Search > Display > Organic Search > Paid Social,4
J000012,U000012,0,0.0,2026-01-26,2026-01-26,1,['Organic Search'],Organic Search,0
J000013,U000013,0,0.0,2026-02-17,2026-02-24,4,"['Direct', 'Organic Search', 'Email', 'Paid Social']",Direct > Organic Search > Email > Paid Social,7
J000014,U000014,0,0.0,2026-02-09,2026-02-13,3,"['Organic Search', 'Email', 'Direct']",Organic Search > Email > Direct,4
J000015,U000015,1,237.97,2026-01-08,2026-01-16,4,"['Paid Search', 'Paid Social', 'Direct', 'Organic Search']",Paid Search > Paid Social > Direct > Organic Search,8
J000016,U000016,0,0.0,2026-03-01,2026-03-02,3,"['Organic Search', 'Referral', 'Direct']",Organic Search > Referral > Direct,1
J000017,U000017,1,114.92,2026-02-03,2026-02-18,7,"['Paid Search', 'Display', 'Affiliate', 'Referral', 'Direct', 'Referral', 'Referral']",Paid Search > Display > Affiliate > Referral > Direct > Referral > Referral,15
J000018,U000018,0,0.0,2026-03-09,2026-03-18,4,"['Display', 'Paid Social', 'Paid Social', 'Referral']",Display > Paid Social > Paid Social > Referral,9
J000019,U000019,0,0.0,2026-01-17,2026-01-26,4,"['Display', 'Direct', 'Organic Search', 'Paid Search']",Display > Direct > Organic Search > Paid Search,9
J000020,U000020,0,0.0,2026-02-22,2026-02-27,3,"['Organic Search', 'Paid Search', 'Referral']",Organic Search > Paid Search > Referral,5
J000021,U000021,0,0.0,2026-03-12,2026-03-20,6,"['Display', 'Email', 'Paid Search', 'Paid Search', 'Organic Search', 'Paid Search']",Display > Email > Paid Search > Paid Search > Organic Search > Paid Search,8
J000022,U000022,0,0.0,2026-01-18,2026-01-24,3,"['Display', 'Paid Search', 'Referral']",Display > Paid Search > Referral,6
J000023,U000023,0,0.0,2026-01-11,2026-01-16,3,"['Display', 'Paid Social', 'Display']",Display > Paid Social > Display,5
J000024,U000024,0,0.0,2026-01-07,2026-01-17,4,"['Organic Search', 'Email', 'Paid Social', 'Organic Search']",Organic Search > Email > Paid Social > Organic Search,10
J000025,U000025,0,0.0,2026-03-02,2026-03-02,1,['Paid Social'],Paid Social,0
J000026,U000026,0,0.0,2026-03-01,2026-03-02,2,"['Email', 'Paid Social']",Email > Paid Social,1
J000027,U000027,0,0.0,2026-03-09,2026-03-12,5,"['Organic Search', 'Paid Search', 'Email', 'Organic Search', 'Paid Search']",Organic Search > Paid Search > Email > Organic Search > Paid Search,3
J000028,U000028,0,0.0,2026-02-04,2026-02-06,2,"['Paid Social', 'Paid Search']",Paid Social > Paid Search,2
J000029,U000029,0,0.0,2026-02-25,2026-03-03,5,"['Paid Social', 'Paid Search', 'Email', 'Paid Search', 'Direct']",Paid Social > Paid Search > Email > Paid Search > Direct,6
